Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
4706;justificatif (-ve);justificativ;kanýtlayýcý;adj.;jüstifikatif /-iv;1205
4707;justification;justification;açýklama, aklama, doðrulama;f.;jüstifikasyoñ;1205
4708;justifier;tojustify;doðrulamak, aklamak;v.;jüstifiye;1205
4709;kabine;cabinet;kabinet;m.;kabine;-1
4710;kangourou;kangaroo;kanguru;m.;kañguru;-1
4711;karaté;karate;karate;m.;karate;-1
4712;kayak;kayak;kayak;m.;kayak;-1
4713;Kenya;Kenya;Kenya;m.;kenya;-1
4714;kermesse;fair;kermes;f.;kermes;-1
4715;khalifat;caliphate;halife;m.;kalifa;-1
4716;khan;khan;han, baþbuð;m.;kan;-1
4717;khôl / kohol;kohl;sürme;m.;kôl;-1
4718;kidnapper;tokidnap;kaçýrmak (rehin);v.;kidnape;-1
4719;kilo;kilo;kilo;m.;kilo;1206
4720;kilogramme;kilogramme;kilogram;m.;kilogram;1206
4721;kilomètre;kilometer;kilometre;m.;kilometr;-1
4722;kinésithérapeute;physiotherapist;fizyoterapi uzmaný;m.f.;kinesiterapöt;1207
4723;kinésithérapie;physiotherapy;fizyoterapi ;f.;kinesiterapi;1207
4724;kiosque;kiosk;büfe, köþk (eski dilde);m.;kiyosk;1208
4725;kiosque à journaux;newsstand;gazete bayii;m.;kiyosk a jurno;1208
4726;kiosque à musique;bandstand;müzik kutusu;m.;kiyosk a müzik;1208
4727;kit;kit;araç kiti;m.;kit;1209
4728;kit mains libres conducteur;hands-free kit;araç kiti (eller serbest);m.;kit meñ libr koñdüktör;1209
4729;kiwi;kiwi;kivi;m.;kivi;-1
4730;klaxon;hooter, horn;korna, klâkson;m.;klakson;1210
4731;klaxonner;tohoot;klâkson çalmak;v.;klaksone;1210
4732;knock-out;knocked out;nakavt (olmuþ);adj.;nok aut;-1
4733;koala;koala;koala;m.;koala;-1
4734;Koweït;Kuwait;Kuveyt;m.;koveyt;-1
4735;kyste;cyst;ur, kist;m.;kist;1211
4736;kystique;cystic;ur, kist niteliðinde;adj.;kistik;1211
4737;la;the;(belirteç-diþil);art.f.;la;1212
4738;la;her;onu;pron.;lö;1212
4739;là;there;orada;adv.;la;1212
4740;labirynthe;labyrinth, maze;labirent;m.;labirent;-1
4741;laborantin (-e);laboratary asistant;laborant;m.f.;laboranteñ/-in;1213
4742;laboratoire;laboratory;laboratuvar;m.;laboratuar;1213
4743;laborieusement;laboriously;çalýþkan bir biçimde;adv.;laboriyözmañ;1214
4744;laborieux (-euse);laborious, industrious;çalýþkan;adj.;laboriyö/laboriyöz;1214
4745;lac;lake;göl;m.;lâk;-1
4746;lacer;tolace up;baðcýðýný sýkýp baðlamak;v.;lâse;1215
4747;lacet;shoe-lace;baðcýk (ayakkabý);m.;lâse;1215
4748;lâche;cowardly;nâmert;adj.;laþ;-1
4749;lâcher;torelease, to give up;serbest býrakmak;v.;lâþe;-1
4750;lacrymogène (gaz…);tear gas;gözyaþartýcý gaz;adj.;lâkrimojen;-1
4751;lacune;gap;boþluk, eksiklik;f.;lâkün;-1
4752;laïc (laïque);layman;laik, layik;adj.;layik;-1
4753;laid (-e);ugly;çirkin;adj.;le/led;-1
4754;laine (de/en laine);wool (woollen);yün (yünlü);f.;len (dö/añ len);1216
4755;laineux (-euse);woolly;yünlü;adj.;lenö / lenöz;1216
4756;laisse;lead, leash;tasma;f.;les;-1
4757;laisser;toleave;býrakmak;v.;lese;1217
4758;laisser;tolet sb. do;izin vermek;v.;lese;1217
4759;selaisser faire…;tolet oneself …;izin vermek(kendine bþ.yapmaya);v.;sö lese fer;1217
4760;lait;milk;süt;m.;le;85
4761;lait en poudre;milk powder;süt tozu;m.;le añ pudr;85
4762;laiterie;dairy;mandýra;f.;let(ö)ri;85
4763;laitier (-ère);dairy;süte deðgin;adj.;letiye/letiyer;85
4764;laitier (-ère);milkman, milkwoman;sütçü;m.f.;letiye/letiyer;85
4765;laitue;lettuce;marul;f.;letü;-1
4766;lama;llama;lama;m.;lama;-1
4767;lame;blade;jilet;m.;lâm;-1
4768;lamentable;lamentable;acýnacak;adj.;lamañtabl;-1
4769;lampadaire;street lamp;sokak lambasý;m.;lâmpader;-1
4770;lampe;lamp;lamba;f.;lâmp;1218
4771;lampe de chevet;biedsise lamp;baþucu lambasý;f.;lâmp dö þöve;1218
4772;lampe de poche;flashlight;el feneri;f.;lâmp dö poþ;1218
4773;lancement;throwing;fýrlatma;m.;lânsmañ;1220
4774;lancement;launch;tanýtým;m.;lânsmañ;1220
4775;lance-pierres;catapult;sapan;m.;lans-piyer;1220
4776;lancer;tocast, to throw;atmak, fýrlatmak;v.;lanse;1220
4777;selancer;tolaunch into;atýlmak;v.;sö lañse;1220
4778;langage;language;dil;m.;lañgaj;-1
4779;langouste;spiny lobster;istakoz (kýskaçsýz);f.;langust;-1
4780;langue;tongue;dil;f.;lang;1221
4781;langue;language;dil, lisan;f.;lang;1221
4782;langue maternelle;native language;anadili;f.;lang maternel;1221
4783;lapin (-e);rabbit;tavþan;m.f.;lapeñ;-1
4784;lard;streaky bacon;domuz eti parçalarý;m.;lar;-1
4785;large;large;geniþ;adj.;larj;676
4786;largeur;width;geniþlik, en;f.;larjör;676
4787;larme;tear;göz yaþý;f.;lârm;-1
4788;larve;larva;kurtçuk;f.;lârv;-1
4789;larynx;larynx;gýrtlak;m.;larenks;-1
4790;las (lasse);weary, tired;bitkin, bezgin;adj.;la/las;1222
4791;laser;laser;lazer;m.;lazer;-1
4792;lasser;toweary;bezdirmek;v.;lase;1222
4793;latéral (-e);lateral;yan, yanal;adj.;laterâl;-1
4794;Latin (-e);Latin;Latin;m.f.;lateñ, latin;1223
4795;Latin;Latin;Latince;m.;lateñ;1223
4796;latitude;latitude;enlem;f.;latitüd;-1
4797;lauréat (-e);prize-winner;ödül alan;m.f.;lorea;-1
4798;laurier;laurel;defne;m.;lorye;1224
4799;laurier-rose;oleander;zakkum;m.;loriye-roz;1224
4800;lavabo;wash-basin;lavabo;m.;lâvabo;-1
4801;lavage;washing;yýkama ;m.;lâvaj;1225
4802;lavage de cerveau;brainwashing;beyin yýkama;m.;lâvaj dö servo;1225
4803;lavande;lavender;lavanta;f.;lâvand;-1
4804;lave;lava;lav;f.;lav;1225
4805;lave-linge;washing machine;çamaþýr makinesi;m.;lâv-lenj;1225
4806;machine à laver;washing machine, washer;çamaþýr makinasý;f.;maþin a lave;1225
4807;laver ;towash;yýkamak ;v.;lâve  ;1225
4808;machine à laver la vaisselle;dishwasher;bulaþýk makinesi;f.;maþin a lave la vesel;1225
4809;selaver…;towash oneself;yýkamak (elini, yüzünü vs);v.;sö lave;1225
4810;laverie;launderette;çamaþýrhane (otomatik);f.;lâv(ö)ri;1225
4811;lave-vaisselle;dishwasher;bulaþýk makinesi;m.;lâv-vesel;1225
4812;le;the;(belirteç-eril);art.m.;lö;1212
4813;le;him;onu;pron.;lö;1212
4814;le (la) plus...;the most...;en fazla...;adj.;lö plü/lâ plü;1212
4815;leader;leader;önder, lider;m.;leder;-1
4816;lécher;tolick;yalamak;v.;leþe;1226
4817;lèche-vitrines (faire du…);togo window-shopping;vitrinlere bakarak dolaþmak;v.;leþ-vitrin (fer dü…);1226
4818;lecteur (-trice);reader;okuyucu;m.f.;lektör/lektris;1227
4819;lecteur (-trice);foreign language assitant;okutman;m.f.;lektör/lektris;1227
4820;lecteur;player;okuyucu aygýt;m.;lektör;1227
4821;leçon;lesson, example;ders, ibret;f.;lösoñ;-1
4822;légal (-e);legal;yasal;adj.;legâl;1228
4823;légalement;legally;yasal olarak;adv.;legalmañ;1228
4824;légende;legend;efsane;f.;lejand;1229
4825;légende;subtitle;alt yazý;f.;lejand;1229
4826;léger (-ère);light;hafif;adj.;leje/lejer;86
4827;légèrement;lightly;hafifçe;adv.;lejermañ;86
4828;légion;legion;askerî birlik, alay;f.;lejyoñ;-1
4829;législateur (-trice);legislator;yasa koyucu;m.f.;lejislatör;1230
4830;législatif (-ve);legislative;yasamaya deðgin;adj.;lejislâtif/lejislâtiv;1230
4831;législatif (pouvoir…);legislature;yasama gücü;m.;lejislâtif (puvuar);1230
4832;législation;legislation;mevzuat;f.;lejislasyoñ;1230
4833;légitime;legitimate;yasal;adj.;lejitim;1230
4834;légitimement;rightfully;yasal olarak;adv.;lejitimmañ;1230
4835;legs;legacy;vasiyetle baðýþ;m.;leg;-1
4836;légume;vegetable;sebze;m.;legüm;1231
4837;légumes;greens;zerzevat;m.;legüm;1231
4838;lendemain;the next day, the day after;ertesi gün;m.;lâñdömeñ;566
4839;lent (-e);slow;yavaþ;adj.;lañ / lant;1232
4840;lentement;slowly;yavaþ yavaþ;adv.;lañt(ö)mañ;1232
4841;lenteur;slowness;yavaþlýk;f.;lañtör;1232
4842;lentille;lens;lens;f.;lâñtiy;1233
4843;lentille;lens;mercek;f.;lâñtiy;1233
4844;lentille;lentil;mercimek;f.;lâñtiy;1233
4845;léopard;leopard;pars, leopar;m.;leopar;-1
4846;lèpre;leprosy;cüzam;f.;lepr;1234
4847;lépreux (-euse);leprous;cüzamlý;m.f.;leprö/lepröz;1234
4848;lequel…? / laquelle…?;which one?;hangisi;pron.;lökel / lakel;-1
4849;les;the;(belirteç-eril/diþil-çoðul);art.plu.;le;1212
4850;les;they;onlarý;pron.;le;1212
4851;lésé (-e);injured;maðdur;adj.;leze;-1
4852;lésion;lesion;bere (yara);f.;lezyoñ;-1
4853;lessive;washing-powder, detergent;çamaþýr tozu, deterjan;f.;lesiv;1235
4854;lessive;laundry;kirli çamaþýr;f.;lesiv;1235
4855;Lettonie;Latvia;Letonya;f.;letoni;-1
4856;lettre;letter;harf, mektup;f.;letr;1236
4857;lettre;letter;mektup;f.;letr;1236
4858;lettré (-e);well-read;okur-yazar;adj.;letre;1236
4859;leucémie;leukaemia;kan kanseri, lösemi;f.;lösemi;-1
4860;leucocyte;leucocyte;lökosit;m.;lökosit;-1
4861;leur;them;onlara;pron.;lör;1237
4862;leur(s);their;onlarýn…;pron.;lör;1237
4863;levain;leaven;maya (ekmek);m.;löveñ;-1
4864;lever;tolift (up);kaldýrmak;v.;löve;1238
4865;selever;tolift up , to get up;kalkmak (ayaða…);v.;sö löve;1238
4866;lever du jour;sunrise, daybreak;þafak, gün doðumu;m.;löve dü jur;1238
4867;lever du soleil;sunrise;gün doðumu;m.;löve dü soley;1238
4868;levier;lever;kaldýraç, levye;m.;lövye;-1
4869;lèvre;lip;dudak;m.;levr;-1
4870;levrier (levrette);greyhound;tazý;m.f.;levriye / levret;-1
4871;levure;yeast;maya (bira, þarap);f.;lövür;-1
4872;lexique;lexicon;sözlük (küçük);m.;leksik;1239
4873;lexique;vocabulary;kelime daðarcýðý;m.;leksik;1239
4874;lézard;lizard;kertenkele;m.;lezar;-1
4875;lézarde;crack;çatlak, duvar çatlaðý;f.;lezard;-1
4876;liaison;liaison, link, connection;bað, ulama;f.;liyezoñ;-1
4877;leLiban ;Lebanon;Lübnan;m.;libañ;1240
4878;Libanais (-e);A Lebanese;Lübnanlý;m.f.;libane/libanez;1241
4879;libéral (-e);liberal;serbest, liberal;adj.;liberâl;1242
4880;libéralement;liberally;serbest, liberal bir biçimde;adv.;liberâlmañ;1242
4881;libéralisme;liberalism;Liberalizm;m.;liberalizm;1242
4882;libération;liberation;kurtuluþ, özgür kýlma;f.;liberasyoñ;1242
4883;libérer;torelease, to free;kurtarmak, özgür býrakmak;v.;libere;1242
4884;liberté;liberty, freedom;özgürlük, hürriyet;f.;liberte;1242
4885;libraire;bookseller;kitapçý (kiþi);m.f.;librer;1243
4886;librairie;book shop, bookstore;kitabevi, kitapçý (dükkan);f.;libreri;1243
4887;libre;free;özgür, hür;adj.;libr;1242
4888;Libye;Lybie;Libya;f.;libi;1244
4889;Libyen (-ne);Lybian;Libyalý;m.f.;libiyeñ/libiyen;1244
4890;licence;license;izin belgesi;f.;lisans;1245
4891;licence;degree;lisans (üniversite);f.;lisans;1245
4892;licencié (-e);bachelor;mezun;m.f.;lisañsiye;1245
4893;licencié (-e);licensee;lisanslý sporcu;m.f.;lisañsiye;1245
4894;licenciement;dismissal;kovma, atma (iþten);m.;lisañsimañ;1245
4895;licencier;todismiss;kovmak, atmak (iþten);v.;lisañsiye;1245
4896;licite;licit;helâl;adj.;lisit;-1
4897;lien;link;bað;m.;liyeñ;1246
4898;liens de parenté;family ties;aile baðlarý;m.;liyeñ dö parañte;1246
4899;lier;totie, link;baðlamak;v.;liye;1246
4900;selier ;toconnect, to join;baðlanmak;v.;sö liye;1246
4901;lierre;ivy;sarmaþýk;m.;liyer;-1
4902;avoir  lieu;totake place;gerçekleþmek, vuku bulmak;v.;avuar liyö;1247
4903;lieu;place;yer, mahal;m.;liyö;1247
4904;aulieu de;in stead of;yerine;adv.;o liyö dö;1247
4905;lieu de travail;place of work;iþ yeri;m.;liyö dö travay;1247
4906;lieutenant;lieutenant;teðmen;m.;liyötönañ;-1
4907;lièvre;hare;tavþan (yabanî);m.;liyevr;-1
4908;ligne;line;satýr, hat;f.;liyn;1249
4909;lignite;lignite;linyit;m.;linyit;-1
4910;ligoter;totie up;sýmsýký baðlamak;v.;ligote;-1
4911;ligue;league;lig;f.;lig;-1
4912;lilas;lilac;leylak;m.;lilâ;-1
4913;limande;dab;pisibalýðý;f.;limand;-1
4914;lime;file;törpü;f.;lim;-1
4915;limite;limit;sýnýr;f.;limit;1248
4916;limité (-e);limited;kýsýtlý, sýnýrlý;adj.;limite;1248
4917;limiter;tolimit;kýsýtlamak, sýnýrlamak;v.;limite;1248
4918;limonade;lemonade;limonata;f.;limonad;-1
4919;limpide;limpid, clear;duru, berrak, temiz;adj.;leñpid;-1
4920;lin;linen;keten;m.;leñ;-1
4921;linéaire;linear;çizgisel;adj.;lineer;1249
4922;linge;linen;çamaþýr, çaput;m.;lenj;1250
4923;pince à linge;clothes peg;mandal;f.;pens a lenj;1250
4924;lingerie;underwear;iç çamaþýrý;f.;leñjöri;1250
4925;linguistique;linguistics;dilbilim;f.;leñgüistik;-1
4926;Lion;Lion;Aslan (burç);m.;liyoñ;1251
4927;lion (-ne);lion;aslan;m.f.;liyoñ/liyon;1251
4928;liqueur;liqueur;likör;f.;likör;-1
4929;liquide;liquid;sývý, likit;adj.;likid;1252
4930;liquide;cash;peþin, nakit;m.;likid;1252
4931;liquide;liquid;sývý, likit;m.;likid;1252
4932;liquide;cash;nakit;adj.;likid;1252
4933;lire;toread;okumak;v.;lir;1253
4934;lire;lira;lira;f.;lir;1253
4935;lis, lys;lily;zambak;m.;lis;-1
4936;lisible;legible;okunaklý;adj.;lizibl;1253
4937;lisible;readable;okumaya deðer;adj.;lizibl;1253
4938;lisse;smooth;pürüzsüz;adj.;lis;-1
4939;liste;list;liste;f.;list;-1
4940;lit;bed;yatak;m.;li;82
4941;litige;dispute;uyuþmazlýk (tartýþma), ihtilâf;m.;litij;1255
4942;litiges;litigation;uyuþmazlýk (uzlaþmazlýk);m.;litij;1255
4943;litigieux (-euse);litigious;sorunlu, ihtilâflý;adj.;litijiyö/litijiyöz;1255
4944;cas litigieux;contentious issue;davalý, sorunlu, ihtilâflý durum;m.f.;ka litijiyö;1255
4945;litre;liter;litre;m.;litr;-1
4946;littéraire;literary;yazýnsal, edebî;adj.;literer;1256
4947;littérature;litterature;yazýn, edebiyat;f.;literatür;1256
4948;littoral;coast;kýyý, sahil;m.;litorâl;-1
4949;Lituanie;Lithuania;Litvanya;f.;litüani;-1
4950;livraison;delivery;teslim;f.;livrezoñ;1257
4951;livre;book;kitap;m.;livr;1258
4952;livre de chevet;bedside book;baþucu kitabý;m.;livr dö þöve;1258
4953;livre de cuisine;cookery book;yemek kitabý;m.;livr dö küizin;1258
4954;livrer;todeliver;teslim etmek;v.;livre;1257
4955;livret;booklet;kitapçýk;m.;livre;1258
4956;livreur (-euse);delivery man, woman;teslimatçý, kurye;m.f.;livrör/livröz;1257
4957;local (-e);local;yerel, yöresel, mahallî;adj.;lôkâl;1258
4958;localement;locally;yerel olarak, yer yer;adv.;lôkâlmañ;1258
4959;localisation;localization;yerini belirleme;f.;lôkâlizasyon;1258
4960;localisé (-e);localized;yeri belirli;adj.;lokalize;1258
4961;localiser;tolocate, localize;yerini belirlemek;v.;lôkâlize;1258
4962;locataire;tenant, lodger;kiracý;m.f.;lôkater;1259
4963;location;renting;kiralama;f.;lokasyoñ;1259
4964;locomative;locomative;lokomotif;f.;lôcomotiv;-1
4965;locuteur (-trice);speaker;okuyucu;m.f.;lokütör / lokütris;1260
4966;locution;phrase;söyleyiþ, deyim;f.;lôküsyoñ;1260
4967;loge;dressing room;loca;f.;loj;1261
4968;logement;housing, accommodation;konut, lojman;m.;lôjmañ;1261
4969;seloger;tolodge;ikamet etmek;v.;lôje;1261
4970;logiciel;software;yazýlým;m.;lôjisyel;-1
4971;logique;logic;mantýk;f.;lôjik;1262
4972;logique;logical;mantýklý;adj.;lôjik;1262
4973;logiquement;logically;mantýklý bir biçimde;adv.;lôjikmañ;1262
4974;logistique;logistics;örgütlenme;f.;lôjistik;-1
4975;loi;law;kanun;f.;lua;-1
4976;loin (de);far;uzak, ýrak;adv.;luañ;1263
4977;lointain (-e);distant;uzaktaki;adj.;luañteñ;1263
4978;loisir;leisure, spare time;boþ zaman;m.;luazir;-1
4979;lokoum;Turkish delight;lokum;m.;lokum;-1
4980;lombric;earth-worm;solucan;m.;loñbrik;-1
4981;londonien (-ne);Londoner;Londralý;m.f.;londoniyeñ/-yen;1264
4982;Londres;London;Londra ;n.pr.;londr;1264
4983;long (longue);long;uzun;adj.;loñ/long;1265
4984;le long de …;along;boyunca;prép.;loñ dö…;1265
4985;long métrage;feature film;uzun metraj film;m.;loñ metraj;1265
4986;longe;longe, tether;yular;f.;lonj;1265
4987;longer;togo along;boyunca gitmek;v.;lôñje;1265
4988;longévité;lenght of life;ömür;f.;loñjevite;-1
4989;longitude;longitude;boylam;f.;loñjitüd;-1
4990;longtemps;long time, long;uzun süre;adv.;loñtañ;1265
4991;longuement;for a long time;uzun uzun, uzun uzadýya;adv.;loñgmañ;1265
4992;longueur;lenght, height;boy, uzunluk;f.;longör;1265
4993;lors de…;at the time of…;sýrasýnda, esnasýnda;prép.;lôr dö…;-1
4994;lorsque;when; -diði zaman, ne zaman ki;conj.;lôrskö…;-1
4995;lot;share;pay;m.;lô;1266
4996;lot;prize;ikramiye;m.;lô;1266
4997;lotion;lotion;koku, losyon;f.;lôsyoñ;-1
4998;lotterie;lottery;piyango, çekiliþ;f.;lôt(ö)ri;-1
4999;louche;soup-ladle;kepçe;f.;luþ;1267
5000;louche;squint-eyed;þaþý;adj.;luþ;1267
5001;àlouer;for rent;kiralýk;exp.;a lue;1259
5002;louer;torent;kiralamak;v.;lue;1259
5003;loup (louve);wolf;kurt;m.f.;lu / luv;-1
5004;loupe;magnifying glass;büyüteç;f.;lûp;-1
5005;lourd (-e);heavy;aðýr;adj.;lûr;-1
5006;loyal (-e);loyal;dürüst;adj.;luayal;1268
5007;loyauté;loyalty;dürüstlük;f.;luayote;1268
5008;loyer;rent;kira;m.;luaye;1259
5009;luciole;firefly;ateþ böceði;f.;lüsiyol;-1
5010;lucratif (-ve);lucrative;kârlý;adj.;lükratif;-1
5011;luette;uvula;küçükdil;f.;lüet;-1
5012;lui;him, to him, to her;o, ona;pron.;lüi;1269
5013;lui-même;himself;kendi kendine;pron.;lüi-mem;1269
5014;luire;toshine;ýþýldamak, pýrýldamak;v.;lüir;-1
5015;lumière;light;ýþýk, nur;f.;lümiyer;1270
5016;lumière du jour;day light;gün ýþýðý;f.;lümiyer dü jur;1270
5017;lumineusement;luminously;aydýnlýk, ýþýltýlý bir biçimde;adv.;lüminözmañ;1271
5018;lumineux (-euse);luminous, illuminated;aydýnlýk, ýþýltýlý;adj.;lüminö/lüminöz;1271
5019;lundi;Monday;Pazartesi;m.;lœñdi;-1
5020;lune;moon;ay (uydu);f.;lün;1272
5021;lune de miel;honeymoon;balayý;f.;lün dö miyel;1272
5022;lunettes;glasses;gözlük;f.;lünet;1273
5023;lunettes de soleil;sunglasses;güneþ gözlüðü;f.;lünet dö soley;1273
5024;lustre;chandelier;avize;m.;lüstr;1274
5025;lustre;gloss;parlaklýk;m.;lüstr;1274
5026;luth;lute;ud;m.;lüt;1275
5027;luthiste;lutanist;udî;m.f.;lütist;1275
5028;lutte;fight;kavga;f.;lüt;1276
5029;lutte;contest;çekiþme;f.;lüt;1276
5030;lutte;wrestling;güreþ;f.;lüt;1276
5031;selutter ;towrestle;çekiþmek (spor), güreþmek;v.;sö lüte;1276
5032;lutteur;wrestler;güreþçi, pehlivan;m.;lütör;1276
5033;luxe;luxury;lüks, þatafat;m.;lüks;1277
5034;leLuxembourg ;Luxembourg;Lüksemburg;m.;lüksemburg;1278
5035;luxembourgeois (-e);Luxembourgian;Lüksemburglu;m.f.;lüksemburjua/-uaz;1278
5036;luxueux (-euse);luxurious;þatafatlý, lüks;adj.;lüksüö/lüksüöz;1277
5037;luxure;lewdness;sefahat;f.;lüksür;1277
5038;laLybie;Lybia;Libya;f.;libi;1279
5039;lycée;secondary school;lise;m.;lise;1280
5040;lycéen (-ne);high school student, high schooler       liseli;;m.f.;liseeñ/liseen;1280
5041;lymphe;lymph;lenf;f.;lenf;-1
5042;lynchage;lynching;linç;m.;leñþaj;-1
5043;lynx;lynx;vaþak;m.;leñks;-1
5044;lyre;lyre;lir;f.;lir;-1
5045;lyrique;lyric, lyrical;lirik;adj.;lirik;-1
5046;lys, lis;lily;zambak;m.;lis;-1
5047;macaron;macaroon;kurabiye;m.;makaroñ;-1
5048;Macédoine;Macedoine;Makedonya;f.;maseduan;1281
5049;Macédonien (-ne);Macedonian;Makedonyalý;m.f.;masedoniyeñ/-yen;1281
5050;mâcher;tochew;çiðnemek;v.;maþe;1283
5051;machin;thing, whatsit;þey, falan filan;m.;maþeñ;-1
5052;machine;machine;makine;f.;maþin;1282
5053;machine à calculer;calculator;hesap makinasý;f.;maþin a kalküle;1282
5054;machine à coudre;sewing machine;dikiþ makinasý;f.;maþin a kudr;1282
5055;machine à écrire;typewriter;daktilo;f.;maþin a ekrir;1282
5056;machine à laver;washing machine, washer;çamaþýr makinasý;f.;maþin a lave;1282
5057;machine à laver la vaisselle;dishwasher;bulaþýk makinesi;f.;maþin a lave la vesel;1282
5058;machiniste;driver;makinist, sürücü;m.;maþinist;1282
5059;macho;macho, male chauvinist;maço;adj.;maço;-1
5060;mâchoire;jaw;çene;f.;maþuar;1283
5061;maçon;mason, bricklayer;duvar ustasý;m.;masoñ;-1
5062;madame;lady, madam;haným, evli bayan;f.;madam;1284
5063;mademoiselle;young lady;genç bayan, küçük haným;f.;madmuazel;1284
5064;mademoiselle;miss;evlenmemiþ bayan;f.;madmuazel;1284
5065;maestro;maestro;maestro;m.;maestro;-1
5066;magasin;shop, store;maðaza, dükkan;m.;magazeñ;1285
5067;magasin de souvenirs;souvenir shop;hediyelik eþya dükkaný;m.;magazeñ dö suvönir;1285
5068;magazine;magazine;dergi, mecmua, magazin;m.;magazin;-1
5069;Maghreb;North Africa;Magrib, Kuzey Afrika;m.;maðreb;-1
5070;magicien;wizard;sihirbaz;m.;majisyeñ;1286
5071;magicien (magicienne);magician;büyücü;m.f.;majisyeñ/-yen;1286
5072;magie;magic;sihir, büyü;f.;maji;1286
5073;magique;magic;sihirli, büyülü;adj.;majik;1286
5074;magistrat;magistrate;hakim;m.;majistra;-1
5075;magma;magma;maðma;m.;magma;-1
5076;magnétique;magnetic;manyetik;adj.;manyetik;1287
5077;magnétisme;magnetism;manyetizma;m.;manyetizm;1287
5078;magnétophone;tape recorder, cassette recorder;teyp;m.;manyetofon;1288
5079;magnétoscope;video recorder;video;m.;manyetoskop;1288
5080;magnifique;magnificent;þahane;adj.;manyifik;-1
5081;magnolia;magnolia;manolya;m.;manyolya;-1
5082;mai;may;mayýs;m.;me;-1
5083;maigre;thin;zayýf, sýska;adj.;megr;1289
5084;maigreur;thinness;zayýflýk;f.;megrör;1289
5085;maigrir;toget thinner, to slim;zayýflamak;v.;megrir;1289
5086;maillot de bain;swimsuit;mayo;m.;mayo dö beñ;1290
5087;maillot de corps;undershirt;fanila, atlet;m.;mayo dö kor;1290
